CÁLCULO DO TEMPO DE SOBRECARGA DO CABO - EQUAÇÃO 4.67 (COBRE)
,
PARÂMETROS DE ENTRADA,VALOR,UNIDADE,DESCRIÇÃO
S_ter,50,mm²,Seção do cabo
I_cc,10,kA,Corrente de curto-circuito trifásica simétrica
T_max,200,°C,Temperatura máxima admitida pelo cabo de cobre
T_i,70,°C,Temperatura inicial antes do defeito
,
CONSTANTES DO COBRE,VALOR,UNIDADE,DESCRIÇÃO
E,0.0925,cal/(g·°C),Calor específico do cobre
rho_d,8.9,g/cm³,Densidade do cobre
rho_20,0.0178,Ω·mm²/m,Resistividade do cobre a 20°C
alpha_20,0.00393,1/°C,Coeficiente de variação da resistência com temperatura
,
CÁLCULOS INTERMEDIÁRIOS,VALOR,FÓRMULA EXCEL,DESCRIÇÃO
rho_c,=B13*(1+B14*(B6-20)),,Resistividade à temperatura Ti: ρc = ρ20 × [1 + α20 × (θi - 20)]
Termo_ln,=LN(1+B14*(B5-B6)),,ln[1 + α20 × (Tmax - Ti)]
Fator_K,=4.184*(B11*B12)/(B14*C17),,4.184 × (E × ρd) / (α20 × ρc)
,
RESULTADO,VALOR,UNIDADE
T (tempo),=(B4^2*C19*C18)/(1000000*B5^2),segundos
